Einsatzort	PLZ	Qualifikation	Qualifikationgruppe	Schicht	Tag	Wochentag	Feiertag	Mitarbeiter ID
1709	92.0	201	2.0	1	2014-01-02	Thu	False	[528]
2097	92.0	205	2.0	2	2020-10-08	Thu	False	[46236 46715 48536]
695	109.0	123	2.0	2	2017-07-23	Sun	False	[22998]
2446	19.0	148	2.0	1	2016-06-23	Thu	False	[15452]
57	43.0	212	10.0	2	2018-11-24	Sat	False	[34277 38913]
765	43.0	26	2.0	2	2018-11-29	Thu	False	[32403]
1140	99.0	17	2.0	1	2019-11-26	Tue	False	[43350 45695]
2461	92.0	169	2.0	1	2020-01-08	Wed	False	[41031 41384 40442 44853 42923 45734]
1000	98.0	71	10.0	2	2014-01-30	Thu	False	[3131]
2675	131.0	148	2.0	2	2015-08-04	Tue	False	[8112 8470 8514 8770 9129 9960]
